Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2021,11,20,07:42:12,25.9469,91.5133,34.2,4.1,INDIA-BANGLADESH BORDER REGION,1637394132
2021,7,9,07:46:23,25.9749,90.3995,10.0,4.3,INDIA-BANGLADESH BORDER REGION,1625816783
2021,7,7,03:15:24,25.9603,90.3499,10.0,5.3,INDIA-BANGLADESH BORDER REGION,1625627724
2021,2,24,18:16:46,20.0522,91.0042,10.0,4.5,BAY OF BENGAL,1614190606
2020,11,2,19:43:17,25.7773,91.1728,10.0,4.5,INDIA-BANGLADESH BORDER REGION,1604346197
2020,10,24,03:21:03,23.0338,92.2235,41.3,4.6,INDIA-BANGLADESH BORDER REGION,1603509663
2020,8,26,02:24:03,23.8783,88.4289,10.0,3.8,INDIA-BANGLADESH BORDER REGION,1598408643
2020,7,16,02:27:38,24.6068,92.3957,39.6,4.4,INDIA-BANGLADESH BORDER REGION,1594866458
2020,6,3,01:40:48,24.8316,91.1391,30.5,4.2,INDIA-BANGLADESH BORDER REGION,1591148448
2020,2,25,06:16:20,24.2411,90.0385,10.0,4.0,BANGLADESH,1582611380
2020,1,27,07:10:39,24.773,91.731,10.0,4.5,INDIA-BANGLADESH BORDER REGION,1580109039
2019,5,6,14:18:26,19.7263,90.8861,10.0,4.9,BAY OF BENGAL,1557152306
2019,3,21,14:30:54,25.791,91.0486,10.0,4.3,INDIA-BANGLADESH BORDER REGION,1553178654
2019,2,26,04:49:57,24.0617,90.2952,10.0,3.4,BANGLADESH,1551156597
2018,8,17,19:04:19,25.6343,90.9167,10.0,3.9,INDIA-BANGLADESH BORDER REGION,1534532659
2018,3,21,22:58:23,26.3137,89.9018,10.0,4.0,INDIA-BANGLADESH BORDER REGION,1521673103
2018,1,30,14:15:16,24.5706,89.5825,16.3,4.4,BANGLADESH,1517321716
2018,1,20,01:14:27,26.1323,89.8746,11.5,4.5,INDIA-BANGLADESH BORDER REGION,1516410867
2017,12,11,03:35:13,25.725,90.8605,10.0,4.6,INDIA-BANGLADESH BORDER REGION,1512963313
2017,11,8,04:50:52,24.1007,91.2708,29.9,4.9,INDIA-BANGLADESH BORDER REGION,1510116652
2017,9,7,14:32:03,25.275,90.2279,36.7,4.1,INDIA-BANGLADESH BORDER REGION,1504794723
2017,7,21,00:23:42,24.1789,92.2002,38.8,4.4,INDIA-BANGLADESH BORDER REGION,1500596622
2017,4,25,16:14:55,25.6263,90.8833,31.2,4.3,INDIA-BANGLADESH BORDER REGION,1493136895
2017,4,18,14:01:34,25.0632,91.6394,34.1,4.5,INDIA-BANGLADESH BORDER REGION,1492524094
2017,3,21,15:40:45,25.382,92.5637,38.7,4.4,INDIA-BANGLADESH BORDER REGION,1490110845
2017,2,12,04:05:33,25.548,91.1035,36.9,4.4,INDIA-BANGLADESH BORDER REGION,1486872333
2017,1,3,09:09:02,24.0161,92.0062,36.2,5.5,INDIA-BANGLADESH BORDER REGION,1483434542
2016,11,15,02:10:21,24.5992,92.2986,34.0,4.6,INDIA-BANGLADESH BORDER REGION,1479175821
2016,10,19,07:20:49,24.8107,91.2245,30.3,4.4,INDIA-BANGLADESH BORDER REGION,1476861649
2016,6,27,00:27:43,22.7084,92.0667,10.0,4.7,INDIA-BANGLADESH BORDER REGION,1466987263
